date	hours	sales	transactions	items
2010-02-13	21	178.74	4	70
2010-02-14	9	4625.380000000002	94	1321
2010-02-14	10	5092.279999999998	123	1465
2010-02-14	11	7316.279999999963	145	2149
2010-02-14	12	8936.639999999908	162	2499
2010-02-14	13	6464.489999999995	149	1919
2010-02-14	14	7145.799999999977	142	2078
2010-02-14	15	9551.899999999885	202	2934
2010-02-14	16	7794.649999999934	176	2270
2010-02-14	17	6964.449999999946	169	2157
2010-02-14	18	5553.650000000003	135	1699
2010-02-14	19	2814.689999999963	95	978
2010-02-14	20	2773.9300000000026	67	795
2010-02-14	21	45.76	3	19
2010-02-15	8	0.0	1	0
2010-02-15	9	1687.4500000000003	39	432
2010-02-15	10	2773.6800000000017	66	790
2010-02-15	11	4389.210000000001	110	1311
2010-02-15	12	5950.730000000002	127	1663
2010-02-15	13	5741.200000000001	126	1603
2010-02-15	14	4269.200000000001	111	1227
2010-02-15	15	6038.770000000007	136	1693
2010-02-15	16	6168.11	162	1859
2010-02-15	17	5773.010000000003	146	1795
2010-02-15	18	6183.530000000004	148	1824
2010-02-15	19	4451.1600000000035	132	1489
2010-02-15	20	2850.8700000000017	73	837
2010-02-15	21	2052.6300000000006	70	623
2010-02-15	22	160.84000000000003	4	54
2010-02-16	9	1807.3300000000013	48	496
